date,month,region,category,unit Sold,sales
2/21/2024,February,Europe,Kids,42,886.85
3/18/2025,March,South America,Men,46,802.46
3/23/2025,March,North America,Women,18,831.06
12/28/2023,December,South America,Men,23,2067.17
12/31/2023,December,Australia,Women,26,2261.33
9/18/2023,September,Europe,Men,99,5979.54
9/23/2024,September,Europe,Women,29,2609.7
11/26/2023,November,North America,Accessories,52,4289.01
1/15/2025,January,Europe,Accessories,75,2626.09
5/10/2024,May,Africa,Accessories,46,1164.24
6/6/2025,June,Europe,Accessories,1,37.1
3/11/2025,March,South America,Men,63,1917.76
6/25/2023,June,South America,Women,16,1056.72
2/2/2025,February,South America,Accessories,25,1566.02
2/18/2025,February,South America,Men,62,3959.28
12/8/2024,December,Africa,Women,82,2217.06
9/28/2023,September,Asia,Men,80,6501.41
1/4/2025,January,Australia,Accessories,83,4069.19
2/11/2025,February,North America,Kids,16,840.33
9/18/2023,September,South America,Men,69,6881.13
9/3/2023,September,Europe,Accessories,91,3221.81
12/18/2023,December,South America,Footwear,70,3183.07
11/21/2023,November,Europe,Women,34,2409.98
6/22/2023,June,Australia,Accessories,80,7138.97
2/25/2025,February,Australia,Footwear,53,1134.75
4/17/2025,April,Australia,Men,23,1751.54
2/11/2025,February,Europe,Men,43,3983.75
10/26/2024,October,South America,Footwear,44,2114.78
12/9/2024,December,Australia,Footwear,32,1145.77
11/3/2024,November,Africa,Women,23,1632.92
1/27/2025,January,Europe,Men,20,642.93
9/7/2023,September,Europe,Footwear,19,847.14
11/26/2023,November,South America,Kids,93,8437.16
5/30/2024,May,Europe,Kids,72,4545.35
9/4/2024,September,Europe,Footwear,29,537.89
6/28/2024,June,Australia,Women,18,714.11
5/22/2024,May,South America,Men,69,4585.32
9/30/2023,September,Australia,Kids,12,640.02
8/7/2024,August,Australia,Footwear,10,694.31
10/9/2023,October,South America,Footwear,37,2905.6
5/13/2024,May,North America,Accessories,81,4313.68
2/17/2024,February,Australia,Footwear,96,9487.26
5/16/2025,May,Africa,Women,55,5077.64
1/4/2025,January,Africa,Kids,4,61.57
8/7/2024,August,Europe,Accessories,95,3227.99
6/8/2025,June,Africa,Kids,63,2334.08
8/14/2024,August,Europe,Kids,90,2392.75
12/19/2024,December,North America,Women,12,456.98
5/25/2025,May,South America,Footwear,18,868.21
5/27/2025,May,South America,Women,8,117.12
10/31/2023,October,South America,Footwear,32,686.62
4/25/2024,April,Africa,Accessories,84,1567.62
10/8/2024,October,North America,Women,49,694.26
2/10/2024,February,Africa,Women,63,3360.09
1/9/2024,January,Africa,Men,77,3083.26
10/7/2024,October,North America,Women,59,5557.22
10/18/2023,October,North America,Men,87,1674.61
1/29/2025,January,North America,Footwear,67,6253.99
6/4/2025,June,North America,Footwear,99,1761.12
11/28/2024,November,South America,Footwear,39,2563.45
7/6/2023,July,Asia,Men,50,1614.79
10/2/2023,October,Asia,Footwear,85,7175.06
12/9/2024,December,North America,Kids,71,1102.82
12/30/2024,December,Asia,Women,26,2488.87
8/14/2023,August,Asia,Men,23,327.82
11/13/2024,November,North America,Footwear,96,3043.22
1/27/2024,January,Asia,Kids,63,3261.93
7/20/2023,July,Africa,Women,66,5150.98
11/30/2024,November,Europe,Women,39,3728.41
12/22/2024,December,Europe,Footwear,66,3202.57
9/6/2023,September,North America,Kids,46,3595.26
7/16/2024,July,South America,Men,15,1131.67
8/21/2023,August,North America,Footwear,16,982.48
2/3/2024,February,South America,Women,90,6496.45
1/7/2024,January,Europe,Women,72,966.67
4/22/2024,April,North America,Women,16,795.87
5/23/2025,May,Australia,Footwear,85,6861.83
6/14/2024,June,Africa,Accessories,39,2054.52
1/25/2025,January,Asia,Accessories,11,974.77
1/24/2024,January,South America,Accessories,88,7482.41
10/18/2024,October,Australia,Kids,36,3157.57
10/10/2024,October,Asia,Footwear,18,390.59
5/15/2025,May,Asia,Women,23,735.37
12/25/2024,December,North America,Kids,77,975.11
1/11/2025,January,Asia,Accessories,49,4824.15
6/4/2025,June,Africa,Men,42,1312.6
4/4/2024,April,Australia,Kids,44,1893.69
3/24/2024,March,Asia,Kids,1,34.74
9/29/2023,September,North America,Footwear,7,95.07
6/29/2023,June,Africa,Kids,48,1608.63
5/5/2024,May,Europe,Footwear,85,1601.2
3/2/2024,March,Australia,Men,16,727.77
11/16/2023,November,Asia,Women,48,4656.68
1/5/2025,January,North America,Women,78,5681.8
2/3/2024,February,Europe,Accessories,43,3165.71
7/13/2024,July,Europe,Accessories,51,2590.08
11/19/2024,November,South America,Men,66,5479.15
7/31/2023,July,Africa,Women,31,2844.11
3/30/2024,March,Asia,Accessories,39,3765.04
2/18/2024,February,North America,Kids,9,170.18
11/18/2024,November,South America,Footwear,41,3655.89
12/16/2023,December,Africa,Accessories,63,1906.22
10/29/2024,October,South America,Men,14,640.56
2/10/2024,February,Australia,Women,58,2383.39
8/8/2024,August,Africa,Men,74,5236.37
1/30/2024,January,Africa,Footwear,88,5615.56
11/10/2024,November,Asia,Footwear,97,1922.49
1/21/2024,January,Africa,Men,98,7884.5
12/6/2024,December,South America,Accessories,84,4163.72
1/19/2025,January,Africa,Accessories,64,652.8
11/22/2023,November,Asia,Women,28,1324.55
7/28/2024,July,Asia,Women,4,225.88
4/20/2024,April,Australia,Kids,34,550.76
3/23/2024,March,South America,Kids,4,94.41
4/2/2024,April,Europe,Women,70,6959.5
2/23/2024,February,Europe,Kids,58,5127.64
8/27/2023,August,Africa,Men,86,1891.95
9/15/2023,September,Australia,Accessories,4,248.91
12/19/2023,December,North America,Kids,50,2206.59
7/2/2024,July,Africa,Kids,5,294.68
1/9/2025,January,Australia,Men,75,3926.11
10/24/2024,October,South America,Footwear,45,645
12/17/2023,December,South America,Women,35,1343.57
10/15/2024,October,South America,Men,83,1767.64
5/9/2025,May,South America,Footwear,75,4050.53
3/13/2025,March,South America,Men,75,6874.39
10/11/2023,October,Australia,Accessories,27,2689.14
3/27/2024,March,Australia,Men,2,189.97
8/22/2024,August,Asia,Men,54,5330.49
4/9/2025,April,Europe,Accessories,72,818.8
9/15/2023,September,South America,Women,98,7413.72
12/30/2024,December,North America,Footwear,84,2903.49
12/31/2023,December,Australia,Kids,87,7647.79
1/14/2025,January,North America,Women,79,6575.65
1/10/2025,January,North America,Men,48,2310.27
6/5/2025,June,North America,Kids,77,4049.7
2/11/2024,February,Asia,Accessories,95,3216.53
5/28/2024,May,Australia,Women,49,1763.63
2/7/2025,February,North America,Footwear,78,7667.84
5/18/2024,May,South America,Women,1,90
1/9/2024,January,Africa,Women,91,2481.41
5/5/2025,May,North America,Kids,33,1148.31
4/13/2025,April,Asia,Accessories,35,692.24
6/20/2023,June,Australia,Accessories,54,5345.91
5/2/2025,May,Asia,Women,56,5132.34
9/23/2023,September,North America,Accessories,15,895.33
4/18/2025,April,Australia,Kids,69,4992.87
10/3/2024,October,Africa,Kids,4,309.26
12/25/2023,December,North America,Footwear,84,2380.81
7/17/2024,July,Asia,Accessories,64,6023.68
5/13/2025,May,Europe,Footwear,22,1262.95
4/11/2024,April,South America,Men,24,439.7
11/1/2023,November,Asia,Kids,47,2149.66
11/5/2024,November,Australia,Women,75,4811.11
7/2/2023,July,North America,Kids,6,250.52
5/8/2025,May,South America,Men,27,1969.07
8/13/2024,August,North America,Women,10,893.84
1/21/2024,January,Australia,Accessories,39,3099.34
8/8/2024,August,North America,Accessories,74,5020.1
3/16/2025,March,Europe,Kids,90,5048.48
3/6/2025,March,South America,Women,37,1217.36
12/9/2024,December,South America,Women,54,2751.04
11/16/2023,November,Australia,Footwear,97,3527.48
2/29/2024,February,Europe,Men,51,4797.17
10/12/2024,October,Asia,Accessories,60,5499.48
11/2/2024,November,North America,Kids,72,1729.75
6/18/2024,June,Africa,Women,51,4285.83
5/10/2025,May,North America,Accessories,62,4542.26
5/27/2025,May,North America,Kids,49,4790.68
11/6/2024,November,Asia,Accessories,51,2636.58
5/13/2024,May,North America,Kids,28,2099.88
1/6/2024,January,Europe,Accessories,36,2037.94
8/7/2023,August,Europe,Footwear,25,406.15
1/12/2025,January,South America,Men,36,511.52
8/12/2023,August,Australia,Accessories,77,1616.23
10/28/2023,October,Africa,Men,60,2199.43
1/7/2024,January,North America,Accessories,7,233.24
7/10/2023,July,North America,Women,65,4910.71
3/6/2024,March,Asia,Footwear,73,5433.61
3/15/2025,March,Australia,Footwear,92,8963.15
4/21/2024,April,Europe,Men,36,1365.67
10/5/2024,October,Africa,Women,94,8879.3
5/8/2024,May,South America,Kids,73,4756.43
10/24/2024,October,Europe,Footwear,30,1637.33
3/6/2025,March,Australia,Women,99,6940.47
3/22/2025,March,South America,Women,47,3442.66
9/11/2024,September,Asia,Men,91,2318.1
3/22/2024,March,Asia,Women,29,2251.98
1/3/2025,January,North America,Women,5,376.33
10/27/2023,October,Australia,Kids,65,6485.56
2/17/2025,February,Africa,Men,69,6353.2
3/28/2024,March,South America,Men,63,4512.02
7/13/2024,July,Europe,Women,93,6892.48
11/1/2024,November,Australia,Kids,56,5327.77
12/2/2024,December,Australia,Accessories,17,1649.78
6/7/2024,June,Asia,Footwear,51,4305.77
1/5/2025,January,North America,Men,37,2925.42
10/10/2023,October,North America,Kids,88,1762.02
6/27/2024,June,South America,Kids,91,7710.34
5/23/2024,May,Asia,Women,9,295.09
12/18/2024,December,Australia,Footwear,38,2308.14
1/31/2024,January,Africa,Men,53,2463.63
11/6/2024,November,Asia,Accessories,13,534.36
2/5/2025,February,South America,Women,90,3413.03
6/12/2024,June,South America,Men,53,4610.39
8/3/2023,August,Asia,Men,75,5941.67
8/29/2023,August,South America,Kids,88,5025.71
5/31/2024,May,Asia,Footwear,97,6770.91
2/29/2024,February,Europe,Accessories,49,4831.77
10/11/2023,October,Asia,Footwear,70,3204.47
7/29/2023,July,Asia,Kids,35,2085.97
8/9/2023,August,South America,Accessories,16,928.27
2/26/2025,February,South America,Accessories,13,1225.09
11/9/2023,November,North America,Women,11,458.05
3/17/2025,March,North America,Accessories,87,8592.37
8/30/2023,August,Europe,Men,2,74.85
7/20/2024,July,North America,Footwear,94,1861.35
9/20/2023,September,Asia,Footwear,19,517.25
2/12/2024,February,South America,Women,45,2176.2
8/19/2023,August,North America,Accessories,46,3149.99
1/13/2024,January,North America,Kids,47,2656.17
6/21/2023,June,Europe,Men,49,2149.39
6/23/2023,June,Australia,Women,79,4786.06
10/4/2024,October,Europe,Accessories,42,3590.69
6/26/2024,June,Asia,Kids,33,2821.63
10/5/2024,October,South America,Accessories,41,3089.78
11/17/2023,November,Europe,Women,69,6604.7
9/2/2023,September,North America,Kids,86,5428.18
4/23/2025,April,South America,Kids,91,972.72
1/21/2024,January,South America,Kids,99,3582.18
9/29/2023,September,North America,Kids,19,751.26
2/5/2024,February,Europe,Accessories,39,2311.11
10/30/2023,October,North America,Kids,7,640.08
11/19/2024,November,Australia,Accessories,39,3331.78
6/22/2024,June,South America,Kids,98,3027.77
8/19/2024,August,Africa,Kids,34,1929.33
9/1/2024,September,Africa,Women,91,6308.43
5/13/2024,May,Asia,Accessories,44,4350.55
3/5/2025,March,North America,Accessories,69,884.39
5/17/2025,May,North America,Footwear,68,3518.93
7/6/2023,July,Asia,Women,63,6232.58
1/5/2024,January,Asia,Accessories,71,6954.35
11/20/2024,November,Asia,Women,48,1908.74
11/13/2023,November,South America,Women,3,30
4/21/2024,April,Australia,Women,85,5338.52
5/19/2025,May,North America,Men,34,2992.83
6/20/2023,June,South America,Accessories,9,352.68
1/9/2024,January,Asia,Women,61,5739.14
6/6/2024,June,North America,Men,20,798.86
8/6/2024,August,South America,Men,40,2596.72
3/16/2024,March,Australia,Kids,12,899.81
3/29/2025,March,South America,Kids,28,1150.45
12/13/2024,December,Australia,Accessories,48,2001.53
9/6/2023,September,Asia,Kids,97,5073.05
6/20/2023,June,Australia,Accessories,74,6302.59
1/13/2025,January,North America,Men,75,1430.74
10/23/2023,October,Asia,Men,7,467.83
11/8/2024,November,North America,Accessories,82,5818.83
2/9/2024,February,Africa,Kids,83,4997.31
9/26/2024,September,Europe,Kids,14,1319.16
6/27/2024,June,Australia,Accessories,81,5198.51
2/19/2025,February,Europe,Footwear,87,5838.74
10/12/2023,October,Europe,Kids,19,1215.59
8/12/2024,August,Australia,Women,54,4049.01
5/24/2024,May,Asia,Kids,60,1331.21
8/16/2023,August,Africa,Footwear,67,6062.49
1/18/2025,January,North America,Men,34,470.03
2/28/2024,February,South America,Men,89,6022.36
11/3/2024,November,North America,Men,41,2681.12
12/5/2024,December,South America,Kids,31,890.66
4/17/2024,April,North America,Men,39,532.9
8/19/2023,August,Australia,Footwear,78,1754.62
10/2/2023,October,Africa,Footwear,52,1791.43
4/4/2025,April,South America,Kids,47,4201.31
4/7/2025,April,Asia,Women,20,1740.32
3/17/2024,March,North America,Kids,96,1511.71
3/8/2025,March,North America,Men,97,3495.31
2/9/2025,February,South America,Kids,52,4682
4/11/2024,April,Asia,Footwear,95,2973.43
12/4/2023,December,Asia,Kids,71,7074.22
11/9/2024,November,Australia,Kids,62,2053.17
1/9/2025,January,Australia,Women,5,382.6
9/29/2023,September,Australia,Footwear,57,2709.51
3/4/2024,March,Australia,Accessories,4,89.05
7/16/2024,July,Australia,Accessories,11,362.6
7/10/2023,July,Australia,Footwear,19,1344.45
7/2/2024,July,Africa,Accessories,84,3388.15
10/19/2024,October,Asia,Men,27,1738.03
5/18/2025,May,Australia,Accessories,29,826.44
6/8/2025,June,Asia,Men,18,906.7
5/6/2024,May,Asia,Footwear,37,2075.78
1/1/2025,January,Europe,Accessories,61,2876.19
4/29/2025,April,Africa,Accessories,47,1307.19
10/14/2024,October,Australia,Men,89,4587.04
12/11/2024,December,North America,Men,20,1447.22
2/25/2025,February,South America,Kids,70,6778.91
8/9/2024,August,North America,Women,49,3971.79
3/12/2025,March,Africa,Accessories,15,367.99
10/9/2023,October,South America,Women,18,621.78
2/3/2024,February,Africa,Women,38,649.58
3/13/2024,March,Asia,Accessories,89,1976.55
4/12/2024,April,South America,Men,84,2735.16
5/6/2024,May,Asia,Kids,22,615.06
11/12/2024,November,North America,Footwear,76,2221.36
11/26/2024,November,North America,Accessories,60,1846.16
9/12/2023,September,South America,Accessories,97,3594.93
7/17/2023,July,South America,Footwear,93,1981.16
11/15/2023,November,Australia,Women,66,2310.34
12/19/2023,December,Africa,Kids,26,1870.88
8/13/2023,August,Australia,Women,64,2001.67
1/18/2024,January,Africa,Footwear,96,2444.68
10/31/2023,October,Australia,Footwear,58,933.37
7/22/2024,July,Asia,Kids,3,164.99
12/29/2024,December,South America,Footwear,30,2573.35
1/9/2024,January,North America,Footwear,19,290.92
4/26/2025,April,Africa,Kids,10,588.09
9/24/2024,September,Africa,Accessories,89,6101.46
12/3/2024,December,North America,Women,46,2912.79
8/31/2023,August,Australia,Accessories,19,1690.74
10/3/2024,October,Africa,Accessories,58,5102.58
5/9/2024,May,Asia,Women,85,1288.4
2/19/2025,February,South America,Accessories,6,254.91
6/17/2024,June,North America,Kids,51,3589.11
6/11/2024,June,South America,Women,14,1340.08
5/28/2024,May,Africa,Men,58,4780.45
7/15/2023,July,Africa,Accessories,8,207.14
10/12/2023,October,North America,Footwear,2,70.26
4/7/2024,April,Asia,Women,18,1417.02
3/2/2025,March,Europe,Men,86,4509.22
7/6/2024,July,North America,Footwear,57,3377.66
8/6/2023,August,Europe,Men,94,6091.97
12/6/2024,December,Australia,Accessories,92,1775.25
2/26/2025,February,Europe,Footwear,35,3046.28
3/31/2024,March,Asia,Accessories,66,5787.02
3/14/2025,March,Australia,Footwear,56,2919.93
5/26/2025,May,Europe,Women,82,5446.12
8/6/2024,August,Australia,Kids,43,2983.83
9/8/2024,September,Europe,Kids,73,1976.48
1/21/2024,January,Asia,Men,92,1852.2
7/17/2023,July,Europe,Footwear,72,853.96
7/9/2023,July,Europe,Accessories,8,737.27
2/2/2024,February,Europe,Women,5,205.57
1/6/2025,January,North America,Women,13,230.42
1/19/2025,January,North America,Women,7,363.45
5/11/2024,May,North America,Kids,21,352.93
2/5/2024,February,Asia,Accessories,93,1643.55
9/11/2024,September,Australia,Women,37,1997.99
8/13/2023,August,Africa,Women,45,2510.79
3/30/2025,March,Europe,Men,52,3235.07
11/3/2023,November,Europe,Footwear,48,3315.27
5/22/2024,May,Asia,Footwear,62,4348.93
4/1/2024,April,Europe,Footwear,78,3819.64
1/24/2024,January,North America,Men,51,3463.82
11/25/2024,November,Africa,Kids,4,149.71
10/28/2024,October,South America,Men,86,4275.73
8/5/2023,August,Europe,Women,56,2542.37
2/12/2025,February,North America,Accessories,75,2971.49
8/22/2023,August,South America,Women,34,1070.03
9/9/2023,September,Africa,Women,45,767.76
7/7/2023,July,South America,Accessories,16,888.51
11/7/2023,November,North America,Footwear,9,525.2
7/21/2023,July,Australia,Men,80,3220.32
3/19/2025,March,Australia,Kids,16,1565.22
11/25/2024,November,South America,Women,95,5712.02
8/13/2023,August,Asia,Women,31,2790.34
5/23/2025,May,South America,Kids,13,797
3/30/2025,March,Europe,Men,5,135.46
12/5/2024,December,Europe,Women,47,4592.65
7/28/2023,July,Australia,Kids,39,3497.53
4/19/2024,April,Asia,Women,18,943.46
7/12/2024,July,North America,Footwear,20,637.5
1/16/2025,January,Europe,Footwear,2,60.08
5/31/2025,May,Australia,Women,40,3301.67
9/8/2023,September,Africa,Women,30,486.62
11/3/2024,November,Australia,Footwear,10,674.25
9/18/2024,September,Europe,Women,64,4327.18
8/23/2024,August,Europe,Men,42,1109.68
6/6/2025,June,Australia,Men,75,5508.16
12/7/2024,December,North America,Accessories,53,3894.79
2/28/2024,February,South America,Men,93,3859.76
3/14/2025,March,Europe,Women,53,2835.7
1/7/2025,January,Australia,Women,40,3397.95
8/2/2024,August,Australia,Kids,16,913.34
3/27/2024,March,Asia,Men,48,3150.44
4/19/2025,April,South America,Footwear,61,2876.11
4/13/2025,April,Africa,Footwear,92,2158.68
2/16/2025,February,North America,Accessories,81,8085.91
12/4/2023,December,Africa,Kids,38,2197.85
1/25/2025,January,South America,Footwear,44,1772.33
11/14/2023,November,South America,Accessories,15,1113.61
7/21/2024,July,South America,Men,95,6258.03
4/18/2024,April,Africa,Kids,61,1888.67
12/17/2023,December,South America,Kids,7,622.46
10/2/2024,October,Australia,Women,30,491.44
9/1/2023,September,Africa,Men,36,2322.46
2/20/2025,February,South America,Kids,90,4770.9
2/19/2024,February,Australia,Accessories,11,425.02
7/14/2024,July,Asia,Footwear,70,5906.19
5/22/2025,May,South America,Men,29,2002.88
12/24/2023,December,Africa,Men,92,7208.66
4/13/2025,April,Europe,Kids,79,3738.22
6/10/2024,June,South America,Kids,93,8817.87
1/26/2024,January,Europe,Kids,6,246.15
2/25/2024,February,Australia,Accessories,76,4392.35
1/22/2024,January,Asia,Women,51,4795.45
2/26/2025,February,North America,Kids,80,1398.96
10/20/2023,October,Asia,Women,38,752.13
2/13/2024,February,South America,Women,73,7261.81
7/14/2024,July,Europe,Men,22,2143.35
5/1/2025,May,Europe,Footwear,97,7706.96
9/1/2024,September,Africa,Footwear,90,4821.93
5/21/2024,May,Europe,Accessories,54,2999.46
1/23/2025,January,Africa,Accessories,40,1325.97
8/8/2024,August,Australia,Footwear,7,342.62
9/14/2024,September,North America,Footwear,96,4686.86
6/12/2023,June,South America,Men,40,529.92
8/7/2023,August,Africa,Men,24,1218.82
2/23/2025,February,North America,Footwear,41,2180.44
12/25/2023,December,Europe,Kids,51,3565.94
1/12/2025,January,Europe,Kids,39,2202.75
7/25/2024,July,North America,Men,83,7266.77
10/16/2024,October,Europe,Women,43,1852.46
8/9/2023,August,Australia,Footwear,69,3234.35
6/24/2024,June,Australia,Accessories,94,5774.74
7/12/2023,July,North America,Kids,59,1666.46
5/12/2025,May,Africa,Women,25,1135.37
5/23/2025,May,Africa,Kids,94,6744.98
12/9/2023,December,North America,Women,25,1176.57
5/16/2025,May,Africa,Footwear,73,6686.47
9/23/2024,September,Africa,Footwear,91,5949.31
12/21/2023,December,Australia,Footwear,24,572.14
5/20/2025,May,Africa,Men,62,3339.94
1/4/2025,January,Asia,Women,43,3389.69
9/30/2024,September,South America,Accessories,59,4006.16
1/16/2024,January,Europe,Accessories,54,4842.38
4/6/2025,April,Asia,Footwear,79,6122.38
11/18/2023,November,Africa,Accessories,26,404.18
9/20/2023,September,Australia,Kids,54,1086.81
5/10/2025,May,North America,Women,61,4177.12
6/12/2023,June,Africa,Women,94,2956.93
9/11/2023,September,Australia,Women,75,4717.89
12/1/2024,December,South America,Kids,93,7560.86
12/20/2023,December,Africa,Men,79,4891.98
9/29/2023,September,North America,Kids,44,2085.33
7/21/2023,July,Australia,Women,9,613.48
10/30/2024,October,Australia,Women,42,962.88
5/16/2025,May,Australia,Women,29,2177.57
2/9/2025,February,South America,Accessories,79,5745.85
8/30/2024,August,Africa,Men,81,4560
11/16/2024,November,South America,Kids,80,2807.46
5/13/2025,May,Europe,Women,58,4743.28
12/13/2023,December,Europe,Footwear,86,4811.66
5/10/2025,May,Africa,Men,63,965.53
8/29/2024,August,South America,Footwear,49,4541.08
10/8/2024,October,North America,Men,11,870.04
3/29/2024,March,Australia,Women,89,5574.29
2/22/2024,February,Australia,Men,54,2662.97
7/28/2023,July,Africa,Men,30,2891.73
10/30/2023,October,Europe,Women,66,5263.62
5/25/2024,May,Europe,Footwear,65,3779.71
3/13/2025,March,Australia,Footwear,58,3989.46
4/5/2024,April,Africa,Accessories,57,2010.25
7/20/2023,July,South America,Footwear,37,1021.73
10/6/2023,October,Europe,Footwear,54,1868.33
11/7/2023,November,South America,Men,73,2655.9
10/24/2023,October,Europe,Accessories,69,5283.78
3/18/2024,March,Europe,Women,24,542.53
5/14/2025,May,Asia,Women,63,5038.92
10/10/2023,October,Europe,Kids,91,5196.61
1/29/2025,January,North America,Accessories,94,4193.49
6/14/2024,June,Africa,Men,51,1888.82
7/23/2024,July,Africa,Kids,15,842.82
11/19/2023,November,South America,Kids,47,1813.1
3/18/2025,March,Europe,Women,73,3551.5
12/28/2024,December,North America,Footwear,46,3519.52
2/14/2024,February,South America,Men,30,1990.2
6/18/2024,June,Asia,Accessories,79,6108.15
6/2/2024,June,South America,Kids,20,1483.35
8/27/2023,August,South America,Men,57,4751.32
4/25/2024,April,Europe,Women,49,1379.45
2/2/2025,February,Asia,Kids,56,5575.42
9/5/2023,September,South America,Kids,56,2957.88
6/9/2024,June,North America,Women,25,1866.02
9/23/2023,September,North America,Women,9,638.98
6/19/2023,June,Africa,Women,22,1340.98
1/11/2025,January,Asia,Men,77,7671.01
12/23/2024,December,Asia,Men,37,1093.66
8/30/2024,August,Africa,Men,28,1342.76
5/16/2024,May,South America,Footwear,14,300.94
4/23/2025,April,Asia,Kids,30,790.96
8/11/2024,August,North America,Men,39,2892.5
6/15/2023,June,North America,Footwear,57,594.84
6/18/2024,June,Europe,Kids,5,450.42
12/6/2024,December,Asia,Men,12,803.84
2/22/2024,February,South America,Women,35,1738.85
12/13/2023,December,Africa,Accessories,41,1632.72
8/25/2024,August,Africa,Men,63,1345.97
2/5/2025,February,South America,Accessories,42,3903.51
11/23/2023,November,Australia,Men,65,4817.09
7/6/2024,July,Europe,Women,65,2617.9
9/4/2023,September,Africa,Accessories,43,704.52
11/17/2024,November,Asia,Footwear,60,2358.69
1/18/2024,January,Europe,Women,20,532.34
3/29/2025,March,Asia,Accessories,98,7914.93
7/2/2023,July,North America,Accessories,98,7326.86
9/2/2023,September,Europe,Women,63,3454.57
4/2/2024,April,Africa,Women,24,2153.42
8/28/2023,August,Europe,Women,92,2416.04
10/17/2023,October,Europe,Kids,75,3800.77
10/23/2023,October,Europe,Footwear,72,5324.82
11/23/2023,November,Australia,Men,35,563.58
6/5/2025,June,Europe,Accessories,41,1785.18
8/7/2024,August,Asia,Men,16,983.2
11/28/2023,November,North America,Women,80,3440.99
5/25/2024,May,South America,Footwear,6,319.31
4/7/2024,April,Europe,Footwear,20,1294.61
4/10/2025,April,Africa,Kids,56,2416.69
2/20/2024,February,Europe,Women,75,1465.6
8/14/2023,August,Africa,Accessories,8,180.4
11/22/2024,November,Asia,Kids,84,4824.15
3/18/2025,March,Africa,Women,96,2469.75
8/24/2024,August,South America,Kids,97,8738.25
8/6/2023,August,North America,Men,6,510.46
3/22/2025,March,Africa,Women,92,3809.99
7/1/2023,July,Africa,Accessories,8,678.31
5/30/2024,May,North America,Accessories,62,3595.19
8/5/2024,August,South America,Women,14,340.4
4/27/2025,April,Europe,Kids,3,195.84
12/12/2024,December,Africa,Footwear,2,142.3
9/23/2024,September,North America,Women,22,386.11
5/8/2025,May,Asia,Accessories,97,3715.18
10/19/2024,October,North America,Men,85,891.19
2/29/2024,February,Asia,Accessories,70,2693.5
1/12/2024,January,South America,Footwear,71,2853.5
11/24/2024,November,Europe,Accessories,6,400.31
6/15/2024,June,North America,Footwear,50,1395.69
6/15/2024,June,Australia,Women,44,559.16
8/9/2024,August,Africa,Accessories,8,307.26
10/13/2024,October,South America,Kids,24,2023.34
8/31/2024,August,North America,Kids,27,1239.92
6/22/2024,June,Africa,Accessories,53,2510
7/10/2023,July,North America,Accessories,51,2662.84
5/2/2025,May,Asia,Men,28,2174.51
12/30/2024,December,North America,Accessories,59,3138.93
7/30/2024,July,Australia,Men,69,1256.87
9/13/2024,September,North America,Men,83,2371.81
10/28/2024,October,North America,Men,73,1964.49
9/16/2023,September,Australia,Men,25,1392.69
10/30/2024,October,South America,Women,44,558.52
4/14/2024,April,North America,Kids,47,1669.7
5/25/2024,May,Australia,Men,13,840.42
6/3/2024,June,Africa,Kids,53,2221.68
6/22/2024,June,Asia,Men,53,3905.79
